word,weight,pronunciation,verb,verbt,verbi,noun,adj,adv,prep,conj,sentence,looklike,homoionym,antonym
trim,1569,/trɪm/,,修剪；整理,,修剪；整理,苗条的，修长的；整齐的，整洁的,,,,,tame；tram,clip；decorate；adorn；tidy；orderly；slim；fit；n.decoration；adornment；frill,lengthen；augment；messy；bulky
lack,19737,/læk/,,缺乏，不足，没有,,缺乏，不足，没有,,,,,,like；leg；lag,scarceness；unavailability；be short of；want for；require,surplus；glut；excess；plenty；abundance；have
pardon,1672,/ˈpɑːdn/,,原谅，宽恕；赦免,,原谅，宽恕；赦免,,,,,,patent；pattern,sorry；repeat,convict；guilty
fair,245,/feə(r)/,,,,,公平的、地,公平的、地,,,,fire；fear,justice；equitable；impartial,foul；unfair
interview,18824,/ˈɪntəvjuː/,接见，会见；采访；面试,,,接见，会见；采访；面试,,,,,,intervene；interval,meeting；talk；conference；consultation；discussion；question；interrogate；quiz,interviewee
shave,565,/ʃeɪv/,修面,,,修面,,,,,,shame；save,cut off；shear；cut；trim,fix up；patch；restore；repair；mend
forecast,2894,/ˈfɔːkɑːst/,,预报；预测；预想,,预报；预测；预想,,,,,,,predict；caculate；project；anticipate；foretell；foresee；estimate；guess；conjecture,hindsight；belated；postmortem
bid,4195,/bɪd/,出价；投标,,,出价；投标,,,,,,bead；bit；beat,offer；propose；submit；proffer；proposal；proposition；effort；undertake,withdral；recall；retract；revoke
endeavour,122,/ɪnˈdevə(r)/,,,努力，尽力；尝试,努力，尽力；尝试,,,,,,,neglect；strive；effort；dilligent；industrious；assiduous,lazy；idle；sloth；inactive；slack；sluggish；remiss
glide,633,/glaɪd/,,,滑行，滑翔,滑行，滑翔,,,,,,glad；,slither；slide；sashay；slip；skate,drag；resist；obstruct
gallop,457,/ˈgæləp/,奔驰，飞跑，飞驰,,,奔驰，飞跑，飞驰,,,,,,glop,dash；career；run；hurtle；fly,slow；poky；crawl
boast,632,/bəust/,自夸；夸耀,,,自夸；夸耀,,,,,,boost；boat；bust,brag；vaunt；claim；assert；avowal；show off；crow；swank,humble；modest；humility
scrape,1402,/skreɪp/,刮，擦,,,刮，擦,,,,,,scrap,scratch；scrub；flake；scuff；predicament；jam；fight；rubdown,reconciliation
swap,1007,/swɔp/,交换,,,交换,,,,,,swamp；swipe,change；exchange；dicker；negotiate；interchange；substitution,
mention,5577,/ˈmenʃn/,提及，说起,,,提及，说起,,,,,,mansion；motion,reference；indicate；discussion；remark；allusion；talk about；state；cite；say,conceal
hire,1417,/ˈhaɪə(r)/,租用；雇用,,,租用；雇用,,,,,,hair；higher；hear,employ；appoint；take on；sign up；engage；rental；lease；charter,fire；dismiss；layoff；discharge；sack
request,10356,/rɪˈkwest/,,要求；请求,,要求；请求,,,,,,recast,appeal；demand；call；application；entreaty；ask for；entreat；invite,
interplay,1255,/ˈɪntəpleɪ/,,,相互作用，相互影响,相互作用，相互影响,,,,,,interplate；interpolate；interlay,interact；relationship；interchange；back-and-forth；chemistry,isolate；solitary；separate；insulate；seclude
promise,18833,/ˈprɔmɪs/,允诺，保证；预兆，预示,,,允诺，保证；预兆，预示,,,,,,premise,guarantee；agreement；contract；assure；swear；undertake；confirm；engage,repent；betray；forsake
resit,0,/ˏriːˈsɪt/,重修，补考,,,重修，补考,,,,,,resist；reset,rearrange；reorganize；retune；change；right,exemption
delay,9092,/dɪˈleɪ/,耽搁，延迟，延期，迟滞,,,耽搁，延迟，延期，迟滞,,,,,,,postpone；procrastinate；hesitate；suspend,advance
employ,190,/ɪmˈplɔɪ/,,雇用；用，使用,,雇用；用，使用,,,,,,exploit；imply,hire；pay；retain；use；engage；utilize,fire；unemployment；dismiss
grab,1746,/græb/,抓，夺,,,抓，夺,,,,,,grasp,clutch；grasp；grip；seize,loose
embrace,2749,/ɪmˈbreɪs/,拥抱；包括；欣然接受,,,拥抱；包括；欣然接受,,,,,,embarrass,hug；hold；enfold；accept；clinch,reject；exclude
trek,1138,/trek/,,,牛拉车；艰苦跋涉,牛拉车；艰苦跋涉,,,,,,track；trick,hike；ramble；tramp；wade；trudge,
flicker,2590,/ˈflɪkə(r)/,,,闪烁；一闪而过,闪烁；一闪而过,,,,,,flake,glimmer；spark；sparkle；twinkle；trace；sputter；gutter；shimmer；blink,
collapse,9167,/kəˈlæps/,坍塌，崩溃；晕倒,,,坍塌，崩溃；晕倒,,,,,,clap,fall dwon；fail；fold；ruindownfall；breakdown；flop,rise
grin,7904,/grɪn/,咧嘴笑,,,咧嘴笑,,,,,,grain；green,smile；beam；smirk；laugh；giggle,frown
desire,8192,/dɪˈzaɪə(r)/,想望，期望；要求,,,想望，期望；要求,,,,,,design,wish；want；crave；yearn；eager,aversion；abhor；detest；disgust；dislike；loathe
voyage,122,/ˈvɔɪɪdʒ/,旅行，航行，飞行,,,旅行，航行，飞行,,,,,,voyeur,journey；sail；cruise；travel；trip；expedition；flight,
attack,26063,/əˈtæk/,进攻；抨击；（疾病等）突然发作,,,进攻；抨击；（疾病等）突然发作,,,,,,attach,assault；accuse；charge；slander,defend
encounter,8782,/ɪnˈkauntə(r)/,,遭遇，遇到,,遭遇，遇到,,,,,,,meet；run into,miss
attempt,24380,/əˈtempt/,尝试，试图；努力,,,尝试，试图；努力,,,,,,tempt,try；effort,give up；quit；drop；resign
stir,938,/stɜː(r)/,搅动；摇动；激动,,,搅动；摇动；激动,,,,,,stern,mix；blend；stimulate；arouse,dampen；subside；appease；mollify
cantonese,136,/ˏkæntəˈniːz/,,,,广东人（的）；广东话（的）,广东人（的）；广东话（的）,,,,,cartoon,,
stare,3084,/steə(r)/,,,盯,盯,,,,,,stair,watch；gaze；gape,ignore
esteem,240,/ɪˈstiːm/,,尊重；尊敬,,尊重；尊敬,,,,,,redeem,respect；reverence；honor；admiration；regard；appreciate；value；cherish；prize,scorn；contempt
glitter,1224,/ˈglɪtə(r)/,,,闪光,闪光,,,,,,glint,shine；glint；sparkle；gleam；shimmer,
strain,5879,/streɪn/,拉紧，绷紧；扭伤，拉伤；（使）过劳，（使）极度紧张,,,拉紧，绷紧；扭伤，拉伤；（使）过劳，（使）极度紧张,,,,,,stain；drain,pull；tension；pressure；anxiety,slack；loose；lax；relax
disdain,486,/dɪsˈdeɪn/,鄙视，蔑视,,,鄙视，蔑视,,,,,,distain,despise；scorn；spurn；disparage；contempt；disregard,praise；acclaim；compliment；respect
scuffle,223,/ˈskʌfl/,,,扭打，混战,扭打，混战,,,,,,scarf,fight；wrestle；brawl；fray；scrap,
camouflage,840,/ˈkæməflɑːʒ/,掩饰，伪装,,,掩饰，伪装,,,,,,,disguise；hide；conceal；obscure；mask,uncover；reveal；expose；emerge
drill,5453,/drɪl/,钻；训练,,,钻；训练,,,,,,drool,bore；pierce；puncture；penetrate；practice；efxercise；train,
bulge,1696,/bʌldʒ/,膨胀；凸出；塞满,,,膨胀；凸出；塞满,,,,,,badge,swell；knote；lump；protrude,dent；recess；hollow；depress；sunken；sag
debate,7576,/dɪˈbeɪt/,争论，辩论,,,争论，辩论,,,,,,debacle,argue；dispute；contemplate；contest；deliberate；discuss,conclude；consensus
marsupial,189,/mɑːˈsuːpɪəl/,,,,有袋动物（的）,有袋动物（的）,,,,,,kangaroo；koala,
murder,9242,/ˈmɜːdə(r)/,谋杀，凶杀,,,谋杀，凶杀,,,,,,,kill；slay；assassinate；homicide；manslaughter,
censure,534,/ˈsenʃə(r)/,,指责，谴责，责难,,指责，谴责，责难,,,,,,sensor；censor,criticize；condemn；denounce；contempt；deprecation,agree；praise；approval
decline,12849,/dɪˈklaɪn/,下降，减少；衰退，衰落,,,下降，减少；衰退，衰落,,,,,,declare,refuse；reject；fall；drop；deterioration；degeneration,accept；approve；improve；endorse
defeat,6926,/dɪˈfiːt/,,击败；挫败；战败,,击败；挫败；战败,,,,,,deceit,beat；overcome；overwhelm；baffle；conquest；rout,lose；victory
